sr_no,rank,percentile,choice_code,institute_code,college_code,course_code,course_name,college_name,mapping_status
1.0,14789.0,85.2493707,110124610.0,1101.0,1101,0110124610,Information Technology,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
2.0,36978.0,65.7022258,110161210.0,1101.0,1101,0110161210,Mechanical Engineering,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
3.0,21832.0,78.847542,110137210.0,1101.0,1101,0110137210,Electronics and Telecommunication Engg,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
4.0,9553.0,90.0150514,110124210.0,1101.0,1101,0110124210,Computer Science and Engineering,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
5.0,29415.0,72.1885748,110135610.0,1101.0,1101,0110135610,Electrical Engg[Electronics and Power],Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
6.0,38190.0,64.7375694,110526710.0,1105.0,1105,0110526710,Computer Science and Engineering (IoT),Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
7.0,57176.0,48.6301306,110519110.0,1105.0,1105,0110519110,Civil Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
8.0,56656.0,49.2543008,110561210.0,1105.0,1105,0110561210,Mechanical Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
9.0,36070.0,66.4622994,110537210.0,1105.0,1105,0110537210,Electronics and Telecommunication Engg,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
10.0,31019.0,70.8363852,110526310.0,1105.0,1105,0110526310,Artificial Intelligence (AI) and Data Science,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
11.0,20345.0,80.2427627,110524210.0,1105.0,1105,0110524210,Computer Science and Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
12.0,27689.0,73.7173337,110524610.0,1105.0,1105,0110524610,Information Technology,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
13.0,43688.0,60.227841,110791110.0,1107.0,1107,0110791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
14.0,39430.0,63.6291843,110799510.0,1107.0,1107,0110799510,Artificial Intelligence and Data Science,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
15.0,46149.0,58.2354795,110729310.0,1107.0,1107,0110729310,Electrical Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
16.0,57209.0,48.6301306,110761210.0,1107.0,1107,0110761210,Mechanical Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
17.0,27050.0,74.1809752,110724210.0,1107.0,1107,0110724210,Computer Science and Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
18.0,40173.0,63.223538,110737210.0,1107.0,1107,0110737210,Electronics and Telecommunication Engg,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
19.0,55027.0,50.6386042,110719110.0,1107.0,1107,0110719110,Civil Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
20.0,41148.0,62.3601588,111437210.0,1114.0,1114,0111437210,Electronics and Telecommunication Engg,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
21.0,39928.0,63.376341,111426310.0,1114.0,1114,0111426310,Artificial Intelligence (AI) and Data Science,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
22.0,58364.0,47.6296012,111419110.0,1114.0,1114,0111419110,Civil Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
23.0,58238.0,47.7566256,111461210.0,1114.0,1114,0111461210,Mechanical Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
24.0,33580.0,68.6174754,111424610.0,1114.0,1114,0111424610,Information Technology,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
25.0,29534.0,72.1098321,111424210.0,1114.0,1114,0111424210,Computer Science and Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
26.0,44638.0,59.5678435,111624210.0,1116.0,1116,0111624210,Computer Science and Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
27.0,53742.0,51.7517536,111624610.0,1116.0,1116,0111624610,Information Technology,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
28.0,79145.0,25.5813182,111650710.0,1116.0,1116,0111650710,Chemical Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
29.0,75792.0,29.8279581,111619110.0,1116.0,1116,0111619110,Civil Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
30.0,77577.0,27.8601519,111661210.0,1116.0,1116,0111661210,Mechanical Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
31.0,143453.0,55.1151268,111719110.0,1117.0,1117,0111719110,Civil Engineering,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
32.0,163568.0,36.6611018,111761210.0,1117.0,1117,0111761210,Mechanical Engineering,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
33.0,84557.0,17.0796568,111735610.0,1117.0,1117,0111735610,Electrical Engg[Electronics and Power],Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
34.0,58193.0,47.7771826,111724210.0,1117.0,1117,0111724210,Computer Science and Engineering,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
35.0,61139.0,45.2445766,111799510.0,1117.0,1117,0111799510,Artificial Intelligence and Data Science,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Fully Mapped
36.0,48560.0,56.2235696,111924210.0,1119.0,1119,0111924210,Computer Science and Engineering,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
37.0,175587.0,22.5662265,111961210.0,1119.0,1119,0111961210,Mechanical Engineering,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
38.0,62971.0,43.5428977,111924610.0,1119.0,1119,0111924610,Information Technology,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
39.0,180260.0,16.2979967,111950710.0,1119.0,1119,0111950710,Chemical Engineering,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
40.0,72620.0,33.4714446,111937210.0,1119.0,1119,0111937210,Electronics and Telecommunication Engg,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Fully Mapped
41.0,71696.0,34.7059173,112019110.0,1120.0,1120,0112019110,Civil Engineering,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
42.0,59575.0,46.5960891,112089310.0,1120.0,1120,0112089310,Textile Engineering / Technology,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
43.0,39235.0,63.8828633,112050710.0,1120.0,1120,0112050710,Chemical Engineering,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
44.0,20521.0,80.0308535,112024210.0,1120.0,1120,0112024210,Computer Science and Engineering,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
45.0,67571.0,39.1527671,112061210.0,1120.0,1120,0112061210,Mechanical Engineering,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
46.0,54032.0,51.4671199,112029310.0,1120.0,1120,0112029310,Electrical Engineering,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
47.0,26849.0,74.4735956,112037210.0,1120.0,1120,0112037210,Electronics and Telecommunication Engg,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Fully Mapped
48.0,36487.0,66.2569654,112124210.0,1121.0,1121,0112124210,Computer Science and Engineering,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
49.0,49991.0,55.0466064,112137210.0,1121.0,1121,0112137210,Electronics and Telecommunication Engg,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
50.0,44216.0,59.94795,112124610.0,1121.0,1121,0112124610,Information Technology,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
51.0,61498.0,44.8443341,112161210.0,1121.0,1121,0112161210,Mechanical Engineering,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Fully Mapped
52.0,75946.0,29.7188447,112319110.0,1123.0,1123,0112319110,Civil Engineering,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
53.0,47619.0,57.0199716,112324210.0,1123.0,1123,0112324210,Computer Science and Engineering,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
54.0,79671.0,24.8312223,112361210.0,1123.0,1123,0112361210,Mechanical Engineering,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
55.0,58743.0,47.4238693,112337210.0,1123.0,1123,0112337210,Electronics and Telecommunication Engg,Dr.Rajendra Gode Institute Of Technology Research Amravati,Fully Mapped
56.0,82271.0,21.0827014,112529310.0,1125.0,1125,0112529310,Electrical Engineering,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
57.0,60705.0,45.5083235,112524210.0,1125.0,1125,0112524210,Computer Science and Engineering,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
58.0,83917.0,18.2888686,112526310.0,1125.0,1125,0112526310,Artificial Intelligence (AI) and Data Science,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
59.0,183676.0,11.4128678,112561210.0,1125.0,1125,0112561210,Mechanical Engineering,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
60.0,184972.0,9.2050034,112519110.0,1125.0,1125,0112519110,Civil Engineering,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Fully Mapped
61.0,170724.0,28.7732713,112619110.0,1126.0,1126,0112619110,Civil Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
62.0,85436.0,15.4875273,112661210.0,1126.0,1126,0112661210,Mechanical Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
63.0,164932.0,35.2166182,112629310.0,1126.0,1126,0112629310,Electrical Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
64.0,80986.0,23.0331736,112637210.0,1126.0,1126,0112637210,Electronics and Telecommunication Engg,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
65.0,57767.0,48.2678103,112624210.0,1126.0,1126,0112624210,Computer Science and Engineering,Takshashila Institute Of Engineering Technology Darapur Amravati,Fully Mapped
66.0,67991.0,38.7568676,112737210.0,1127.0,1127,0112737210,Electronics and Telecommunication Engg,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Fully Mapped
