sr_no,rank,percentile,choice_code,institute_code,college_code,course_code,course_name,college_name,mapping_status
1.0,10233.0,89.3995517,110124210.0,1101.0,1101,0110124210,Computer Science and Engineering,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
2.0,14696.0,85.3175964,110124610.0,1101.0,1101,0110124610,Information Technology,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
3.0,21006.0,79.6181326,110135610.0,1101.0,1101,0110135610,Electrical Engg[Electronics and Power],Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
4.0,19830.0,80.7176074,110137210.0,1101.0,1101,0110137210,Electronics and Telecommunication Engg,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
5.0,30398.0,71.3769198,110161210.0,1101.0,1101,0110161210,Mechanical Engineering,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Fully Mapped
6.0,50584.0,54.4646573,110519110.0,1105.0,1105,0110519110,Civil Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
7.0,23421.0,77.4599403,110524210.0,1105.0,1105,0110524210,Computer Science and Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
8.0,27846.0,73.6143868,110524610.0,1105.0,1105,0110524610,Information Technology,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
9.0,32165.0,69.7929881,110526310.0,1105.0,1105,0110526310,Artificial Intelligence (AI) and Data Science,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
10.0,38259.0,64.7153175,110526710.0,1105.0,1105,0110526710,Computer Science and Engineering (IoT),Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
11.0,37657.0,65.2441867,110537210.0,1105.0,1105,0110537210,Electronics and Telecommunication Engg,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
12.0,58054.0,48.0088741,110561210.0,1105.0,1105,0110561210,Mechanical Engineering,Prof. Ram Meghe Institute Of Technology Research Amravati,Fully Mapped
13.0,46054.0,58.2828077,110719110.0,1107.0,1107,0110719110,Civil Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
14.0,29616.0,72.0547535,110724210.0,1107.0,1107,0110724210,Computer Science and Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
15.0,39579.0,63.5789807,110729310.0,1107.0,1107,0110729310,Electrical Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
16.0,41148.0,62.3601588,110737210.0,1107.0,1107,0110737210,Electronics and Telecommunication Engg,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
17.0,57942.0,48.1018012,110761210.0,1107.0,1107,0110761210,Mechanical Engineering,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
18.0,40651.0,62.744513,110791110.0,1107.0,1107,0110791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
19.0,32520.0,69.5628064,110799510.0,1107.0,1107,0110799510,Artificial Intelligence and Data Science,P. R. Pote Patil College Of Engineering Management Amravati,Fully Mapped
20.0,50588.0,54.4646573,111419110.0,1114.0,1114,0111419110,Civil Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
21.0,30917.0,70.864798,111424210.0,1114.0,1114,0111424210,Computer Science and Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
22.0,34735.0,67.6020831,111424610.0,1114.0,1114,0111424610,Information Technology,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
23.0,38969.0,64.2435857,111426310.0,1114.0,1114,0111426310,Artificial Intelligence (AI) and Data Science,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
24.0,42664.0,61.0395438,111437210.0,1114.0,1114,0111437210,Electronics and Telecommunication Engg,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
25.0,59551.0,46.5960891,111461210.0,1114.0,1114,0111461210,Mechanical Engineering,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Fully Mapped
26.0,79920.0,24.3000585,111619110.0,1116.0,1116,0111619110,Civil Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
27.0,53758.0,51.7277506,111624210.0,1116.0,1116,0111624210,Computer Science and Engineering,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Fully Mapped
