college_id,college_name,status,home_university
1002,Government College Of Engineering Amravati,Government Autonomous,Autonomous Institute
1005,Sant Gadge Baba Amravati University Amravati,University Department,Sant Gadge Baba Amravati University
1012,Government College Of Engineering Yavatmal,Government,Sant Gadge Baba Amravati University
1101,Shri Sant Gajanan Maharaj College Of Engineering Shegaon,Un-Aided,Sant Gadge Baba Amravati University
1105,Prof. Ram Meghe Institute Of Technology Research Amravati,Un-Aided Autonomous,Autonomous Institute
1107,P. R. Pote Patil College Of Engineering Management Amravati,Un-Aided Autonomous,Autonomous Institute
1114,Sipna Shikshan Prasarak Mandal College Of Engineering Technology Amravati,Un-Aided Autonomous,Autonomous Institute
1116,Shri Shivaji Education Society S College Of Engineering And Technology Akola,Un-Aided,Sant Gadge Baba Amravati University
1117,Janata Shikshan Prasarak Mandal S Babasaheb Naik College Of Engineering Pusad,Un-Aided,Sant Gadge Baba Amravati University
1119,Paramhansa Ramkrishna Maunibaba Shikshan Santha S Anuradha Engineering College Chikhali,Un-Aided,Sant Gadge Baba Amravati University
1120,Jawaharlal Darda Institute Of Engineering And Technology Yavatmal,Un-Aided Linguistic Minority - Hindi,Sant Gadge Baba Amravati University
1121,Shri Hanuman Vyayam Prasarak Mandals College Of Engineering Technology Amravati,Un-Aided,Sant Gadge Baba Amravati University
1123,Dr.Rajendra Gode Institute Of Technology Research Amravati,Un-Aided,Sant Gadge Baba Amravati University
1125,Dwarka Bahu Uddeshiya Gramin Vikas Foundation Rajarshi Shahu College Of Engineering Buldhana,Un-Aided,Sant Gadge Baba Amravati University
1126,Takshashila Institute Of Engineering Technology Darapur Amravati,Un-Aided,Sant Gadge Baba Amravati University
1127,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha S Jagdambha College Of Engineering And Technology Yavatmal,Un-Aided Autonomous,Autonomous Institute
1128,Prof Ram Meghe College Of Engineering And Management Badnera,Un-Aided,Sant Gadge Baba Amravati University
1130,Vision Buldhana Educational Welfare Society S Pankaj Laddhad Institute Of Technology Management Studies Yelgaon,Un-Aided,Sant Gadge Baba Amravati University
1180,Sanmati Engineering College Sawargaon Barde Washim,Un-Aided,Sant Gadge Baba Amravati University
1182,Padmashri Dr. V.B. Kolte College Of Engineering Malkapur Buldhana,Un-Aided,Sant Gadge Baba Amravati University
1265,Mauli Group Of Institutions College Of Engineering And Technology Shegaon.,Un-Aided,Sant Gadge Baba Amravati University
1268,Siddhivinayak Technical Campus School Of Engineering Research Technology Shirasgon Nile,Un-Aided,Sant Gadge Baba Amravati University
1276,Manav School Of Engineering Technology Gut No. 1035 Nagpur Surat Highway Nh No. 6 Tal.Vyala Balapur Akola 444302,Un-Aided,Sant Gadge Baba Amravati University
2008,Government College Of Engineering Chhatrapati Sambhajinagar,Government Autonomous,Autonomous Institute
2020,Shri Guru Gobind Singhji Institute Of Engineering And Technology Nanded,Government-Aided Autonomous,Autonomous Institute
2021,University Department Of Chemical Technology Aurangabad,University Department,Dr. Babasaheb Ambedkar Marathwada University
2032,Institute Of Chemical Technology Mumbai Marathwada Off Campus Jalna,University Managed Autonomous,Deemed to be University
2111,Everest Education Society Group Of Institutions (Integrated Campus) Ohar,Un-Aided Religious Minority - Muslim,Dr. Babasaheb Ambedkar Marathwada University
2112,Shree Yash Pratishthan Shreeyash College Of Engineering And Technology Aurangabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2113,G. S. Mandal S Maharashtra Institute Of Technology Aurangabad,Un-Aided Autonomous,Autonomous Institute
2114,Deogiri Institute Of Engineering And Management Studies Aurangabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2116,Matoshri Pratishan S Group Of Institutions (Integrated Campus) Kupsarwadi Nanded,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2127,Mahatma Gandhi Missions College Of Engineering Hingoli Rd Nanded.,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2129,M.S. Bidve Engineering College Latur,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2130,Terna Public Charitable Trust S College Of Engineering Osmanabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2131,Shree Tuljabhavani College Of Engineering Tuljapur,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2133,Mahatma Basaweshwar Education Society S College Of Engineering Ambejogai,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2134,Peoples Education Society S College Of Engineering Aurangabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2135,Hi-Tech Institute Of Technology Aurangabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2136,Aditya Engineering College Beed,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2137,Nagnathappa Halge Engineering College Parli Beed,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2138,Matsyodari Shikshan Sansatha S College Of Engineering And Technology Jalna,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2146,Adarsh Shikshan Prasarak Mandal S K. T. Patil College Of Engineering And Technology Osmanabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2250,Aurangabad College Of Engineering Naygaon Savangi Aurangabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2252,Marathwada Shikshan Prasarak Mandal S Shri Shivaji Institute Of Engineering And Management Studies Parbhani,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2254,Vilasrao Deshmukh Foundation Group Of Institutions Latur,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2282,Aditya Education Trust S Mitthulalji Sarada Polytechnic Nalwandi Road Beed,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2508,Gramin Technical And Management Campus Nanded.,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2516,International Centre Of Excellence In Engineering And Management (Iceem),Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
2522,Stmei S Sandipani Technical Campus-Faculty Of Engineering Latur.,Un-Aided,Swami Ramanand Teerth Marathwada University Nanded
2533,Csmss Chh. Shahu College Of Engineering Aurangabad,Un-Aided,Dr. Babasaheb Ambedkar Marathwada University
